iter	RMSE
0	148.784681
1	148.2495688
2	147.7550007
3	147.2924179
4	146.8259479
5	146.3809695
6	145.9994151
7	145.574818
8	145.1809866
9	144.7971834
10	144.4482415
11	144.0824442
12	143.704776
13	143.3987285
14	143.0888451
15	142.7569566
16	142.4429768
17	142.148961
18	141.8891425
19	141.6509621
20	141.4038158
21	141.1568468
22	140.908681
23	140.672866
24	140.4450573
25	140.2025475
26	139.9508927
27	139.7150653
28	139.4994695
29	139.2766649
30	139.06931
31	138.857467
32	138.6351159
33	138.4874887
34	138.3051156
35	138.1304646
36	137.9335463
37	137.758576
38	137.6221358
39	137.4461712
40	137.3217279
41	137.1895166
42	137.0291387
43	136.8781244
44	136.6696316
45	136.5127615
46	136.3650934
47	136.2393466
48	136.1188802
49	135.9659994
50	135.8120258
51	135.7035703
52	135.5629696
53	135.4657021
54	135.3163155
55	135.1596741
56	135.0208622
57	134.8931687
58	134.7822911
59	134.6531152
60	134.54126
61	134.4401448
62	134.3033947
63	134.1831236
64	134.0415241
65	133.8934791
66	133.7814108
67	133.6844849
68	133.5781157
69	133.489365
70	133.3774836
71	133.2736873
72	133.1879759
73	133.0885062
74	132.9840608
75	132.8768273
76	132.7998223
77	132.6804907
78	132.5967948
79	132.4914099
80	132.4118449
81	132.2916934
82	132.2078313
83	132.1123756
84	132.0273407
85	131.9595562
86	131.8656915
87	131.7753551
88	131.6867946
89	131.6042786
90	131.5264372
91	131.4513917
92	131.367586
93	131.2883128
94	131.2014376
95	131.1355989
96	131.0801438
97	131.0118128
98	130.9238139
99	130.8433882
100	130.7808565
101	130.7363304
102	130.62365
103	130.5145532
104	130.4308429
105	130.3284813
106	130.2099126
107	130.0919892
108	130.0408389
109	129.9689671
110	129.8995309
111	129.8324221
112	129.7742338
113	129.6899971
114	129.5980078
115	129.5603649
116	129.4978256
117	129.4422836
118	129.373585
119	129.3050541
120	129.2274795
121	129.1478618
122	129.0619607
123	128.9903013
124	128.9248576
125	128.8748074
126	128.8150993
127	128.7294791
128	128.6671482
129	128.6056384
130	128.5426216
131	128.4908604
132	128.4318214
133	128.3605216
134	128.3145946
135	128.2734744
136	128.2186205
137	128.1653117
138	128.1190951
139	128.0553589
140	127.965218
141	127.8586482
142	127.7928257
143	127.7133312
144	127.6592178
145	127.5899928
146	127.5425816
147	127.4793767
148	127.4327511
149	127.3877012
150	127.3300816
151	127.2807415
152	127.2235589
153	127.170479
154	127.1262018
155	127.074978
156	127.0118229
157	126.9484273
158	126.8731474
159	126.8231527
160	126.7706566
161	126.7347595
162	126.6813254
163	126.6045377
164	126.5157125
165	126.469408
166	126.4286762
167	126.3649491
168	126.3073058
169	126.2647634
170	126.227507
171	126.1646173
172	126.0792397
173	126.0223099
174	125.9650758
175	125.9100475
176	125.8734846
177	125.8259671
178	125.7878078
179	125.7198967
180	125.667501
181	125.6241352
182	125.5817651
183	125.5291932
184	125.4751217
185	125.4094632
186	125.3286448
187	125.2729721
188	125.2220061
189	125.1837167
190	125.116364
191	125.0657764
192	125.0231624
193	124.9842664
194	124.9519455
195	124.9165468
196	124.8870994
197	124.8326999
198	124.7963182
199	124.7060163
200	124.6617178
201	124.6149017
202	124.5715335
203	124.5064215
204	124.4688497
205	124.410557
206	124.3595634
207	124.288232
208	124.2341058
209	124.1887226
210	124.1333681
211	124.090973
212	124.0468552
213	124.0053294
214	123.9487869
215	123.911019
216	123.8547839
217	123.8205924
218	123.7582953
219	123.6748991
220	123.5978208
221	123.5504116
222	123.4976675
223	123.44884
224	123.3681703
225	123.3161056
226	123.2480387
227	123.2004126
228	123.1346886
229	123.0680223
230	123.0294342
231	122.9930799
232	122.9439384
233	122.90114
234	122.8641008
235	122.8175005
236	122.7749766
237	122.7417618
238	122.6999821
239	122.6489313
240	122.623891
241	122.5502962
242	122.5049169
243	122.4362974
244	122.4039066
245	122.366607
246	122.3218371
247	122.2907041
248	122.2564829
249	122.2142524
250	122.1839533
251	122.1284994
252	122.0820689
253	122.0491966
254	122.016336
255	121.9902768
256	121.9402404
257	121.8815477
258	121.8508171
259	121.8195725
260	121.7800133
261	121.7190202
262	121.6729316
263	121.6515067
264	121.5833386
265	121.5079063
266	121.4563713
267	121.407634
268	121.3870772
269	121.3488489
270	121.3250885
271	121.2875016
272	121.2406126
273	121.1941279
274	121.1612331
275	121.1144346
276	121.0749508
277	121.0090955
278	120.9430789
279	120.9088525
280	120.86296
281	120.8335348
282	120.8004361
283	120.7604705
284	120.7384977
285	120.7101759
286	120.6731299
287	120.6240101
288	120.5818796
289	120.5258109
290	120.4837114
291	120.4584478
292	120.4189149
293	120.3881985
294	120.3674871
295	120.3251644
296	120.2920608
297	120.2491272
298	120.2084731
299	120.1452982
300	120.1070929
301	120.0712741
302	120.0374884
303	120.0003314
304	119.9605919
305	119.913257
306	119.8866514
307	119.8634123
308	119.8170836
309	119.8004205
310	119.7666326
311	119.7122304
312	119.6576112
313	119.6345667
314	119.5951321
315	119.559398
316	119.5197606
317	119.4908328
318	119.4512282
319	119.422433
320	119.3830098
321	119.355326
322	119.2870608
323	119.2537213
324	119.2222103
325	119.1920053
326	119.1667163
327	119.1362209
328	119.0835077
329	119.03771
330	119.0085136
331	118.9600298
332	118.9258143
333	118.8615183
334	118.8083223
335	118.7799373
336	118.7413906
337	118.7125391
338	118.6744256
339	118.6453827
340	118.6224042
341	118.5918716
342	118.5646887
343	118.5194248
344	118.4994693
345	118.4565293
346	118.3998474
347	118.3532007
348	118.3270742
349	118.3035058
350	118.2661939
351	118.2226708
352	118.1804021
353	118.1268224
354	118.0891225
355	118.0376105
356	117.9840934
357	117.9558147
358	117.9148663
359	117.8748908
360	117.8491244
361	117.8210811
362	117.7933353
363	117.749923
364	117.705797
365	117.6757358
366	117.6227423
367	117.5908211
368	117.568451
369	117.5398614
370	117.5168723
371	117.4845569
372	117.4573611
373	117.4118038
374	117.3544831
375	117.3152201
376	117.2891849
377	117.2590824
378	117.2388117
379	117.2109668
380	117.1786844
381	117.1285359
382	117.099313
383	117.0563942
384	117.0033209
385	116.9749777
386	116.9241454
387	116.879387
388	116.855553
389	116.8213635
390	116.798818
391	116.7628172
392	116.7212211
393	116.6924945
394	116.6662899
395	116.6357989
396	116.589696
397	116.5616915
398	116.5385842
399	116.5099512
400	116.4890057
401	116.4532117
402	116.4264728
403	116.3742739
404	116.3384719
405	116.3171798
406	116.2666941
407	116.241359
408	116.1933376
409	116.1618807
410	116.1182115
411	116.0943132
412	116.0688773
413	116.0249149
414	115.9861222
415	115.9375337
416	115.8927879
417	115.851178
418	115.8205868
419	115.7980661
420	115.7685957
421	115.736046
422	115.7018958
423	115.6684019
424	115.6467312
425	115.6117615
426	115.5908848
427	115.5636023
428	115.5191078
429	115.4930088
430	115.4724513
431	115.4257526
432	115.4024001
433	115.3763182
434	115.3529326
435	115.2954413
436	115.2701648
437	115.2455746
438	115.2142113
439	115.1924502
440	115.1534753
441	115.1309692
442	115.0849489
443	115.0558011
444	115.0335927
445	114.9863388
446	114.9513828
447	114.9164646
448	114.8721249
449	114.8301603
450	114.8077723
451	114.7748315
452	114.7453709
453	114.704208
454	114.6439678
455	114.6245973
456	114.5684458
457	114.5451218
458	114.5117246
459	114.4911697
460	114.4531522
461	114.4012292
462	114.3764274
463	114.3424267
464	114.293662
465	114.2668654
466	114.2393362
467	114.1864163
468	114.1661831
469	114.1215578
470	114.0969466
471	114.0694763
472	114.0509152
473	114.0275344
474	113.9996182
475	113.9797522
476	113.9413527
477	113.9118377
478	113.8950698
479	113.8715477
480	113.8315384
481	113.7853612
482	113.7491758
483	113.7187606
484	113.6726621
485	113.644881
486	113.5940931
487	113.5700929
488	113.5205725
489	113.4785736
490	113.438393
491	113.4110889
492	113.3842617
493	113.3666085
494	113.3416093
495	113.310783
496	113.2780075
497	113.2477185
498	113.2067533
499	113.1667177
500	113.1331079
501	113.086746
502	113.0472856
503	112.9949413
504	112.9457875
505	112.907993
506	112.8647486
507	112.8183099
508	112.798158
509	112.7744064
510	112.7407212
511	112.708395
512	112.6530817
513	112.6169754
514	112.5653722
515	112.5382939
516	112.4953774
517	112.4725875
518	112.4328071
519	112.4077701
520	112.3686655
521	112.3407931
522	112.3229913
523	112.3053716
524	112.2772838
525	112.2522918
526	112.2083931
527	112.1780972
528	112.1163678
529	112.090032
530	112.0615206
531	112.011293
532	111.9737809
533	111.9453116
534	111.9209243
535	111.8853907
536	111.8689197
537	111.8303559
538	111.793635
539	111.7590827
540	111.7226218
541	111.7016465
542	111.6440524
543	111.6049224
544	111.5640249
545	111.5311151
546	111.5023739
547	111.4860759
548	111.4574086
549	111.4237822
550	111.3983966
551	111.3781735
552	111.345499
553	111.3320979
554	111.3053477
555	111.2556474
556	111.2241256
557	111.2011545
558	111.1639489
559	111.1463586
560	111.1080324
561	111.0801109
562	111.0373505
563	111.0034178
564	110.9736317
565	110.9335608
566	110.8868971
567	110.8316304
568	110.805947
569	110.7788842
570	110.7473449
571	110.7157372
572	110.68069
573	110.6621232
574	110.6127151
575	110.5809316
576	110.5417161
577	110.5058436
578	110.4765403
579	110.4607242
580	110.4319236
581	110.3985482
582	110.3486599
583	110.31038
584	110.2820758
585	110.2436971
586	110.2226133
587	110.1958781
588	110.1604528
589	110.1393562
590	110.107078
591	110.0492083
592	110.0112425
593	109.970858
594	109.9357528
595	109.9057976
596	109.8874083
597	109.8414441
598	109.8091244
599	109.7884477
600	109.7679731
601	109.7478069
602	109.7226153
603	109.6993833
604	109.6760037
605	109.641316
606	109.6094155
607	109.5677584
608	109.5292619
609	109.4980748
610	109.4793231
611	109.4592707
612	109.4338753
613	109.4127383
614	109.3760451
615	109.3427025
616	109.3089261
617	109.2649427
618	109.2406194
619	109.2102338
620	109.1815242
621	109.1644272
622	109.1193964
623	109.095383
624	109.0577411
625	109.0328413
626	109.0037235
627	108.976464
628	108.9554307
629	108.9136643
630	108.8828621
631	108.8395099
632	108.8194858
633	108.7841454
634	108.7542944
635	108.731152
636	108.7025759
637	108.6794348
638	108.6492763
639	108.6095792
640	108.5914608
641	108.5540418
642	108.5305808
643	108.5118586
644	108.4947831
645	108.4616396
646	108.42551
647	108.3922597
648	108.3664639
649	108.3409173
650	108.3181027
651	108.2971021
652	108.2477181
653	108.2258872
654	108.1910797
655	108.1631065
656	108.1447978
657	108.1185117
658	108.0940866
659	108.0722673
660	108.0523106
661	108.03638
662	108.0120358
663	107.9710571
664	107.9527982
665	107.9309405
666	107.8987477
667	107.8695556
668	107.8503854
669	107.830121
670	107.8071934
671	107.7771764
672	107.7550833
673	107.7260578
674	107.6934138
675	107.668542
676	107.643297
677	107.6238961
678	107.603135
679	107.5849027
680	107.5723238
681	107.5355356
682	107.5105476
683	107.479182
684	107.4591507
685	107.4309088
686	107.3914379
687	107.3594952
688	107.3344642
689	107.2942788
690	107.2761191
691	107.2490537
692	107.2301032
693	107.2011609
694	107.1803971
695	107.1587892
696	107.1362237
697	107.1185159
698	107.082233
699	107.0497871
700	107.0286133
701	107.0075213
702	106.9842927
703	106.9699937
704	106.9403779
705	106.9218728
706	106.887548
707	106.8496829
708	106.8210797
709	106.7893153
710	106.7519235
711	106.7289213
712	106.7027636
713	106.6848764
714	106.6713237
715	106.6585054
716	106.640456
717	106.6068328
718	106.5871504
719	106.5477219
720	106.508238
721	106.4854268
722	106.4697804
723	106.437639
724	106.4079406
725	106.388018
726	106.3640763
727	106.3384377
728	106.3130066
729	106.2913133
730	106.2456912
731	106.2284968
732	106.2024309
733	106.1810597
734	106.1583075
735	106.1379792
736	106.1144082
737	106.0939296
738	106.0747896
739	106.0210559
740	105.9989759
741	105.9793849
742	105.9544498
743	105.9354694
744	105.9115558
745	105.8892274
746	105.8585941
747	105.8241116
748	105.8075838
749	105.7883818
750	105.7672847
751	105.7471888
752	105.7061706
753	105.6725408
754	105.6501584
755	105.6282957
756	105.5889904
757	105.5655644
758	105.5345426
759	105.5072402
760	105.4787211
761	105.45812
762	105.4251177
763	105.4009157
764	105.3758801
765	105.3554139
766	105.3156449
767	105.2948399
768	105.2796269
769	105.2587228
770	105.2230393
771	105.1993692
772	105.1838823
773	105.1690077
774	105.1359019
775	105.1106265
776	105.0769279
777	105.0543147
778	105.0091765
779	104.980791
780	104.9559926
781	104.9343757
782	104.9122638
783	104.8845449
784	104.8621478
785	104.8470689
786	104.8176245
787	104.7943112
788	104.7739612
789	104.7543777
790	104.7380603
791	104.723717
792	104.6812978
793	104.6517466
794	104.6255859
795	104.6038944
796	104.5907928
797	104.5553981
798	104.5380843
799	104.5060408
800	104.4682315
801	104.4456313
802	104.4200725
803	104.4043855
804	104.3870936
805	104.3610286
806	104.3389769
807	104.3085837
808	104.2803029
809	104.2648376
810	104.2468341
811	104.2261249
812	104.197284
813	104.1748008
814	104.1392417
815	104.1151977
