iter	Passed	Remaining
0	3	3684
1	5	3322
2	7	3174
3	10	3022
4	12	2953
5	14	2935
6	17	2915
7	19	2895
8	21	2908
9	24	2875
10	26	2854
11	28	2828
12	30	2816
13	33	2803
14	35	2791
15	37	2779
16	39	2768
17	42	2765
18	44	2758
19	46	2757
20	48	2749
21	51	2760
22	54	2763
23	56	2754
24	58	2755
25	60	2746
26	62	2736
27	65	2730
28	67	2718
29	69	2708
30	71	2709
31	74	2703
32	76	2696
33	78	2697
34	81	2701
35	83	2698
36	85	2700
37	88	2705
38	91	2711
39	93	2711
40	95	2705
41	97	2696
42	100	2693
43	102	2694
44	104	2693
45	106	2683
46	109	2680
47	111	2683
48	114	2685
49	116	2679
50	118	2674
51	121	2674
52	123	2672
53	125	2673
54	128	2668
55	130	2665
56	132	2663
57	135	2662
58	137	2654
59	139	2652
60	141	2651
61	144	2649
62	146	2652
63	150	2667
64	153	2682
65	156	2686
66	158	2684
67	161	2682
68	163	2674
69	165	2673
70	168	2674
71	170	2673
72	172	2670
73	175	2668
74	177	2663
75	179	2659
76	182	2655
77	184	2651
78	186	2646
79	188	2642
80	191	2639
81	193	2639
82	195	2632
83	197	2628
84	199	2622
85	202	2618
86	204	2612
87	206	2606
88	208	2601
89	210	2599
90	213	2596
91	215	2594
92	217	2589
93	220	2588
94	222	2584
95	224	2579
96	226	2577
97	228	2573
98	230	2567
99	233	2565
100	235	2558
101	237	2554
102	239	2552
103	242	2554
104	244	2553
105	247	2549
106	249	2549
107	251	2546
108	253	2540
109	256	2537
110	258	2536
111	260	2533
112	263	2532
113	265	2529
114	267	2527
115	270	2526
116	272	2525
117	275	2525
118	278	2527
119	280	2527
120	283	2529
121	286	2535
122	289	2532
123	291	2528
124	293	2525
125	296	2524
126	298	2519
127	300	2519
128	302	2515
129	305	2511
130	307	2508
131	309	2505
132	311	2500
133	313	2496
134	316	2494
135	318	2491
136	320	2487
137	322	2483
138	325	2481
139	327	2480
140	329	2477
141	332	2473
142	334	2470
143	336	2468
144	338	2465
145	341	2462
146	343	2460
147	346	2460
148	348	2459
149	350	2456
150	353	2456
151	356	2457
152	358	2455
153	360	2450
154	362	2447
155	365	2444
156	367	2441
157	369	2438
158	372	2435
159	374	2435
160	376	2431
161	378	2427
162	381	2424
163	383	2422
164	385	2419
165	388	2417
166	390	2414
167	392	2412
